n,search_params,params,build_ndc,build_ms,recall_mean,ndc_mean,time_ms_mean
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1281118,139.239561,0.825,496.943,0.071
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1265074,131.969653,0.823,496.957,0.065
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1265074,131.39077,0.823,496.957,0.067
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1265074,131.977014,0.823,496.957,0.066
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1265074,128.20937700000002,0.823,496.957,0.069
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1265074,132.268912,0.823,496.957,0.068
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1265074,136.81606399999998,0.823,496.957,0.068
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1265074,132.84080500000002,0.823,496.957,0.070
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 40, m_max: 20, m_max_0: 20, distance: Dot }",1726042,191.82721899999999,0.845,496.953,0.063
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 20, m_max_0: 20, distance: Dot }",2136672,253.206514,0.870,502.257,0.064
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1265074,134.87796699999998,0.823,496.957,0.067
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 40, m_max: 20, m_max_0: 20, distance: Dot }",1726042,202.665702,0.845,496.953,0.066
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 20, m_max_0: 20, distance: Dot }",2136672,262.53380300000003,0.870,502.257,0.067
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 100, m_max: 20, m_max_0: 20, distance: Dot }",2821017,377.934938,0.886,506.667,0.068
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 30, m_max_0: 30, distance: Dot }",1723175,186.75107,0.943,691.163,0.096
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 40, m_max: 30, m_max_0: 30, distance: Dot }",2285764,265.48842099999996,0.917,665.720,0.089
