inserted id: 2504, insert_level: 2, idx_at_insert_level: 197 top_level: 5
inserted id: 1019, insert_level: 0, idx_at_insert_level: 1019 top_level: 5
inserted id: 790, insert_level: 0, idx_at_insert_level: 790 top_level: 5
inserted id: 1882, insert_level: 1, idx_at_insert_level: 527 top_level: 5
inserted id: 632, insert_level: 0, idx_at_insert_level: 632 top_level: 5
inserted id: 3755, insert_level: 0, idx_at_insert_level: 3755 top_level: 5
inserted id: 5010, insert_level: 0, idx_at_insert_level: 5010 top_level: 5
inserted id: 320, insert_level: 0, idx_at_insert_level: 320 top_level: 5
inserted id: 7509, insert_level: 0, idx_at_insert_level: 7509 top_level: 5
inserted id: 321, insert_level: 0, idx_at_insert_level: 321 top_level: 5
inserted id: 943, insert_level: 1, idx_at_insert_level: 256 top_level: 5
inserted id: 711, insert_level: 0, idx_at_insert_level: 711 top_level: 5
inserted id: 791, insert_level: 0, idx_at_insert_level: 791 top_level: 5
inserted id: 475, insert_level: 0, idx_at_insert_level: 475 top_level: 5
inserted id: 2505, insert_level: 2, idx_at_insert_level: 198 top_level: 5
inserted id: 633, insert_level: 0, idx_at_insert_level: 633 top_level: 5
inserted id: 5011, insert_level: 0, idx_at_insert_level: 5011 top_level: 5
inserted id: 1020, insert_level: 1, idx_at_insert_level: 272 top_level: 5
inserted id: 7510, insert_level: 0, idx_at_insert_level: 7510 top_level: 5
inserted id: 3756, insert_level: 4, idx_at_insert_level: 29 top_level: 5
inserted id: 1100, insert_level: 0, idx_at_insert_level: 1100 top_level: 5
inserted id: 792, insert_level: 0, idx_at_insert_level: 792 top_level: 5
inserted id: 6, insert_level: 0, idx_at_insert_level: 6 top_level: 5
inserted id: 2506, insert_level: 2, idx_at_insert_level: 199 top_level: 5
inserted id: 8760, insert_level: 0, idx_at_insert_level: 8760 top_level: 5
inserted id: 1256, insert_level: 0, idx_at_insert_level: 1256 top_level: 5
inserted id: 944, insert_level: 0, idx_at_insert_level: 944 top_level: 5
inserted id: 322, insert_level: 0, idx_at_insert_level: 322 top_level: 5
inserted id: 323, insert_level: 0, idx_at_insert_level: 323 top_level: 5
inserted id: 7511, insert_level: 0, idx_at_insert_level: 7511 top_level: 5
inserted id: 634, insert_level: 0, idx_at_insert_level: 634 top_level: 5
inserted id: 3757, insert_level: 0, idx_at_insert_level: 3757 top_level: 5
inserted id: 2507, insert_level: 0, idx_at_insert_level: 2507 top_level: 5
inserted id: 1883, insert_level: 0, idx_at_insert_level: 1883 top_level: 5
inserted id: 7, insert_level: 0, idx_at_insert_level: 7 top_level: 5
inserted id: 8761, insert_level: 1, idx_at_insert_level: 2524 top_level: 5
inserted id: 476, insert_level: 0, idx_at_insert_level: 476 top_level: 5
inserted id: 1257, insert_level: 1, idx_at_insert_level: 343 top_level: 5
inserted id: 5012, insert_level: 0, idx_at_insert_level: 5012 top_level: 5
inserted id: 712, insert_level: 0, idx_at_insert_level: 712 top_level: 5
inserted id: 7512, insert_level: 0, idx_at_insert_level: 7512 top_level: 5
inserted id: 945, insert_level: 0, idx_at_insert_level: 945 top_level: 5
inserted id: 635, insert_level: 1, idx_at_insert_level: 163 top_level: 5
inserted id: 3758, insert_level: 1, idx_at_insert_level: 1072 top_level: 5
inserted id: 793, insert_level: 2, idx_at_insert_level: 56 top_level: 5
inserted id: 8762, insert_level: 0, idx_at_insert_level: 8762 top_level: 5
inserted id: 324, insert_level: 3, idx_at_insert_level: 9 top_level: 5
inserted id: 1021, insert_level: 0, idx_at_insert_level: 1021 top_level: 5
inserted id: 1258, insert_level: 0, idx_at_insert_level: 1258 top_level: 5
inserted id: 477, insert_level: 0, idx_at_insert_level: 477 top_level: 5
inserted id: 1101, insert_level: 0, idx_at_insert_level: 1101 top_level: 5
inserted id: 7513, insert_level: 0, idx_at_insert_level: 7513 top_level: 5
inserted id: 8, insert_level: 0, idx_at_insert_level: 8 top_level: 5
inserted id: 946, insert_level: 0, idx_at_insert_level: 946 top_level: 5
inserted id: 1884, insert_level: 1, idx_at_insert_level: 528 top_level: 5
inserted id: 8763, insert_level: 0, idx_at_insert_level: 8763 top_level: 5
inserted id: 636, insert_level: 0, idx_at_insert_level: 636 top_level: 5
inserted id: 1102, insert_level: 0, idx_at_insert_level: 1102 top_level: 5
inserted id: 1022, insert_level: 0, idx_at_insert_level: 1022 top_level: 5
inserted id: 3759, insert_level: 0, idx_at_insert_level: 3759 top_level: 5
inserted id: 1023, insert_level: 0, idx_at_insert_level: 1023 top_level: 5
Thread ThreadId(5) insert id: 794, insert_level: 2, idx_at_insert_level: 57 top_level: 5
                              Error at level 1, idx: 213
inserted id: 1024, insert_level: 0, idx_at_insert_level: 1024 top_level: 5
inserted id: 325, insert_level: 2, idx_at_insert_level: 25 top_level: 5
inserted id: 1103, insert_level: 0, idx_at_insert_level: 1103 top_level: 5
inserted id: 1885, insert_level: 0, idx_at_insert_level: 1885 top_level: 5
inserted id: 8764, insert_level: 0, idx_at_insert_level: 8764 top_level: 5
inserted id: 947, insert_level: 0, idx_at_insert_level: 947 top_level: 5
inserted id: 713, insert_level: 1, idx_at_insert_level: 181 top_level: 5
inserted id: 2508, insert_level: 1, idx_at_insert_level: 715 top_level: 5
inserted id: 637, insert_level: 0, idx_at_insert_level: 637 top_level: 5
Thread ThreadId(5) insert id: 794, insert_level: 2, idx_at_insert_level: 57 top_level: 5
                              Error at level 0, idx: 794
inserted id: 1025, insert_level: 0, idx_at_insert_level: 1025 top_level: 5
inserted id: 3760, insert_level: 1, idx_at_insert_level: 1073 top_level: 5
inserted id: 948, insert_level: 0, idx_at_insert_level: 948 top_level: 5
inserted id: 9, insert_level: 1, idx_at_insert_level: 1 top_level: 5
inserted id: 1259, insert_level: 3, idx_at_insert_level: 33 top_level: 5
inserted id: 5013, insert_level: 1, idx_at_insert_level: 1426 top_level: 5
inserted id: 7514, insert_level: 0, idx_at_insert_level: 7514 top_level: 5
inserted id: 714, insert_level: 0, idx_at_insert_level: 714 top_level: 5
inserted id: 478, insert_level: 1, idx_at_insert_level: 132 top_level: 5
inserted id: 8765, insert_level: 0, idx_at_insert_level: 8765 top_level: 5
inserted id: 326, insert_level: 0, idx_at_insert_level: 326 top_level: 5
inserted id: 2509, insert_level: 0, idx_at_insert_level: 2509 top_level: 5
inserted id: 949, insert_level: 0, idx_at_insert_level: 949 top_level: 5
inserted id: 10, insert_level: 1, idx_at_insert_level: 2 top_level: 5
inserted id: 8766, insert_level: 0, idx_at_insert_level: 8766 top_level: 5
inserted id: 1260, insert_level: 1, idx_at_insert_level: 345 top_level: 5
inserted id: 7515, insert_level: 0, idx_at_insert_level: 7515 top_level: 5
inserted id: 8767, insert_level: 0, idx_at_insert_level: 8767 top_level: 5
inserted id: 1104, insert_level: 1, idx_at_insert_level: 291 top_level: 5
inserted id: 715, insert_level: 1, idx_at_insert_level: 182 top_level: 5
inserted id: 327, insert_level: 0, idx_at_insert_level: 327 top_level: 5
inserted id: 479, insert_level: 0, idx_at_insert_level: 479 top_level: 5
inserted id: 950, insert_level: 0, idx_at_insert_level: 950 top_level: 5
inserted id: 1886, insert_level: 1, idx_at_insert_level: 529 top_level: 5
inserted id: 1026, insert_level: 2, idx_at_insert_level: 76 top_level: 5
inserted id: 5014, insert_level: 1, idx_at_insert_level: 1427 top_level: 5
inserted id: 1261, insert_level: 0, idx_at_insert_level: 1261 top_level: 5
inserted id: 7516, insert_level: 0, idx_at_insert_level: 7516 top_level: 5
inserted id: 8768, insert_level: 0, idx_at_insert_level: 8768 top_level: 5
inserted id: 2510, insert_level: 0, idx_at_insert_level: 2510 top_level: 5
inserted id: 1105, insert_level: 0, idx_at_insert_level: 1105 top_level: 5
inserted id: 794, insert_level: 2, idx_at_insert_level: 57 top_level: 5
inserted id: 716, insert_level: 1, idx_at_insert_level: 183 top_level: 5
inserted id: 638, insert_level: 0, idx_at_insert_level: 638 top_level: 5
inserted id: 5015, insert_level: 0, idx_at_insert_level: 5015 top_level: 5
inserted id: 1262, insert_level: 0, idx_at_insert_level: 1262 top_level: 5
inserted id: 3761, insert_level: 0, idx_at_insert_level: 3761 top_level: 5
inserted id: 1106, insert_level: 0, idx_at_insert_level: 1106 top_level: 5
inserted id: 951, insert_level: 0, idx_at_insert_level: 951 top_level: 5
inserted id: 1887, insert_level: 0, idx_at_insert_level: 1887 top_level: 5
inserted id: 8769, insert_level: 0, idx_at_insert_level: 8769 top_level: 5
inserted id: 717, insert_level: 0, idx_at_insert_level: 717 top_level: 5
inserted id: 2511, insert_level: 1, idx_at_insert_level: 716 top_level: 5
inserted id: 639, insert_level: 0, idx_at_insert_level: 639 top_level: 5
inserted id: 5016, insert_level: 0, idx_at_insert_level: 5016 top_level: 5
inserted id: 795, insert_level: 1, idx_at_insert_level: 214 top_level: 5
inserted id: 1107, insert_level: 0, idx_at_insert_level: 1107 top_level: 5
inserted id: 480, insert_level: 0, idx_at_insert_level: 480 top_level: 5
inserted id: 8770, insert_level: 0, idx_at_insert_level: 8770 top_level: 5
inserted id: 1888, insert_level: 0, idx_at_insert_level: 1888 top_level: 5
inserted id: 2512, insert_level: 0, idx_at_insert_level: 2512 top_level: 5
inserted id: 718, insert_level: 1, idx_at_insert_level: 184 top_level: 5
inserted id: 640, insert_level: 0, idx_at_insert_level: 640 top_level: 5
inserted id: 5017, insert_level: 0, idx_at_insert_level: 5017 top_level: 5
inserted id: 8771, insert_level: 0, idx_at_insert_level: 8771 top_level: 5
inserted id: 11, insert_level: 0, idx_at_insert_level: 11 top_level: 5
inserted id: 7517, insert_level: 1, idx_at_insert_level: 2146 top_level: 5
inserted id: 796, insert_level: 0, idx_at_insert_level: 796 top_level: 5
inserted id: 328, insert_level: 0, idx_at_insert_level: 328 top_level: 5
inserted id: 481, insert_level: 0, idx_at_insert_level: 481 top_level: 5
inserted id: 1027, insert_level: 0, idx_at_insert_level: 1027 top_level: 5
inserted id: 1108, insert_level: 1, idx_at_insert_level: 292 top_level: 5
inserted id: 1263, insert_level: 0, idx_at_insert_level: 1263 top_level: 5
inserted id: 719, insert_level: 0, idx_at_insert_level: 719 top_level: 5
inserted id: 952, insert_level: 0, idx_at_insert_level: 952 top_level: 5
inserted id: 1889, insert_level: 1, idx_at_insert_level: 530 top_level: 5
inserted id: 641, insert_level: 0, idx_at_insert_level: 641 top_level: 5
inserted id: 5018, insert_level: 0, idx_at_insert_level: 5018 top_level: 5
inserted id: 8772, insert_level: 1, idx_at_insert_level: 2525 top_level: 5
inserted id: 7518, insert_level: 0, idx_at_insert_level: 7518 top_level: 5
inserted id: 12, insert_level: 0, idx_at_insert_level: 12 top_level: 5
inserted id: 329, insert_level: 0, idx_at_insert_level: 329 top_level: 5
inserted id: 1028, insert_level: 0, idx_at_insert_level: 1028 top_level: 5
inserted id: 720, insert_level: 0, idx_at_insert_level: 720 top_level: 5
inserted id: 3762, insert_level: 1, idx_at_insert_level: 1074 top_level: 5
inserted id: 1109, insert_level: 1, idx_at_insert_level: 293 top_level: 5
inserted id: 642, insert_level: 0, idx_at_insert_level: 642 top_level: 5
inserted id: 8773, insert_level: 0, idx_at_insert_level: 8773 top_level: 5
inserted id: 1890, insert_level: 0, idx_at_insert_level: 1890 top_level: 5
inserted id: 1110, insert_level: 0, idx_at_insert_level: 1110 top_level: 5
inserted id: 2513, insert_level: 0, idx_at_insert_level: 2513 top_level: 5
inserted id: 5019, insert_level: 1, idx_at_insert_level: 1428 top_level: 5
inserted id: 1264, insert_level: 0, idx_at_insert_level: 1264 top_level: 5
inserted id: 953, insert_level: 3, idx_at_insert_level: 23 top_level: 5
inserted id: 482, insert_level: 0, idx_at_insert_level: 482 top_level: 5
inserted id: 483, insert_level: 0, idx_at_insert_level: 483 top_level: 5
inserted id: 13, insert_level: 0, idx_at_insert_level: 13 top_level: 5
inserted id: 330, insert_level: 0, idx_at_insert_level: 330 top_level: 5
inserted id: 1029, insert_level: 3, idx_at_insert_level: 26 top_level: 5
inserted id: 8774, insert_level: 1, idx_at_insert_level: 2526 top_level: 5
inserted id: 721, insert_level: 3, idx_at_insert_level: 14 top_level: 5
inserted id: 3763, insert_level: 0, idx_at_insert_level: 3763 top_level: 5
inserted id: 643, insert_level: 0, idx_at_insert_level: 643 top_level: 5
inserted id: 797, insert_level: 1, idx_at_insert_level: 215 top_level: 5
inserted id: 1111, insert_level: 0, idx_at_insert_level: 1111 top_level: 5
inserted id: 5020, insert_level: 0, idx_at_insert_level: 5020 top_level: 5
inserted id: 14, insert_level: 0, idx_at_insert_level: 14 top_level: 5
inserted id: 331, insert_level: 0, idx_at_insert_level: 331 top_level: 5
inserted id: 484, insert_level: 0, idx_at_insert_level: 484 top_level: 5
inserted id: 8775, insert_level: 0, idx_at_insert_level: 8775 top_level: 5
inserted id: 722, insert_level: 0, idx_at_insert_level: 722 top_level: 5
inserted id: 1030, insert_level: 0, idx_at_insert_level: 1030 top_level: 5
inserted id: 644, insert_level: 0, idx_at_insert_level: 644 top_level: 5
inserted id: 3764, insert_level: 0, idx_at_insert_level: 3764 top_level: 5
inserted id: 798, insert_level: 0, idx_at_insert_level: 798 top_level: 5
inserted id: 5021, insert_level: 0, idx_at_insert_level: 5021 top_level: 5
inserted id: 7519, insert_level: 0, idx_at_insert_level: 7519 top_level: 5
inserted id: 485, insert_level: 0, idx_at_insert_level: 485 top_level: 5
inserted id: 332, insert_level: 0, idx_at_insert_level: 332 top_level: 5
inserted id: 15, insert_level: 0, idx_at_insert_level: 15 top_level: 5
inserted id: 1891, insert_level: 1, idx_at_insert_level: 531 top_level: 5
inserted id: 8776, insert_level: 1, idx_at_insert_level: 2527 top_level: 5
inserted id: 645, insert_level: 0, idx_at_insert_level: 645 top_level: 5
inserted id: 5022, insert_level: 0, idx_at_insert_level: 5022 top_level: 5
inserted id: 486, insert_level: 0, idx_at_insert_level: 486 top_level: 5
inserted id: 2514, insert_level: 2, idx_at_insert_level: 200 top_level: 5
inserted id: 1112, insert_level: 1, idx_at_insert_level: 294 top_level: 5
inserted id: 954, insert_level: 5, idx_at_insert_level: 2 top_level: 5
inserted id: 16, insert_level: 0, idx_at_insert_level: 16 top_level: 5
inserted id: 1892, insert_level: 0, idx_at_insert_level: 1892 top_level: 5
inserted id: 1265, insert_level: 2, idx_at_insert_level: 97 top_level: 5
inserted id: 3765, insert_level: 0, idx_at_insert_level: 3765 top_level: 5
inserted id: 333, insert_level: 0, idx_at_insert_level: 333 top_level: 5
inserted id: 723, insert_level: 0, idx_at_insert_level: 723 top_level: 5
inserted id: 646, insert_level: 0, idx_at_insert_level: 646 top_level: 5
inserted id: 487, insert_level: 0, idx_at_insert_level: 487 top_level: 5
inserted id: 5023, insert_level: 0, idx_at_insert_level: 5023 top_level: 5
